OTAB_078wtp_T060_q	OTAB_078wtp_T060_i	OTAB_082wtp_T025_q	OTAB_082wtp_T025_i	OTAB_078wtp_T058_q	OTAB_078wtp_T058_i	OTAB_093wtp_T025_q	OTAB_093wtp_T025_i	OTAB_100wtp_T095_q	OTAB_100wtp_T095_i
1.196526	0.05268381	1.329195	0.01375666	1.189891	0.04249379	0.9974693	0.02160806	0.9974693	0.01771815
1.20316	0.04962347	1.335828	0.01194308	1.196526	0.03833162	1.004105	0.007056292	1.004105	0.08085224
1.209794	0.0677104	1.34246	0.01021593	1.20316	0.04755467	1.010741	0.0406263	1.010741	0.03524996
1.216428	0.05532062	1.349093	0.01688273	1.209794	0.0587264	1.017378	0.02842365	1.017378	0.05326377
1.223062	0.02106776	1.355725	0.01474263	1.216428	0.04272104	1.024013	0.01584299	1.024013	0.003003625
1.229696	0.05416629	1.362357	0.01826296	1.223062	0.05587224	1.030649	0.02497865	1.030649	0.01032802
1.23633	0.01513364	1.36899	0.003556156	1.229696	0.1020307	1.037285	0.02119324	1.037285	0.0634881
1.242963	0.04932376	1.375622	0.006221076	1.23633	0.02782717	1.043921	0.08401911	1.043921	0.01729558
1.249597	0.0394463	1.382254	0.01517126	1.242963	0.06018955	1.050557	0.01850458	1.050557	0.06114461
1.256231	0.04589081	1.388886	0.01073901	1.249597	0.0537791	1.057192	0.09160013	1.057192	0.01485829
1.262864	0.1206029	1.395518	0.01421661	1.256231	0.04750488	1.063828	0.03906737	1.063828	0.104141
1.269498	0.02736039	1.40215	0.004764413	1.262864	0.03259932	1.070463	0.009908414	1.070463	0.04918615
1.276131	0.04047978	1.408782	0.003343697	1.269498	0.05152579	1.077099	0.01715948	1.077099	0.125982
1.282764	0.04916753	1.415413	0.004918968	1.276131	0.0542764	1.083734	0.04567578	1.083734	0.1205572
1.289397	0.08630355	1.422045	0.00863954	1.282764	0.04163821	1.09037	0.01401865	1.09037	0.01563389
1.296031	0.08634654	1.428676	0.007901057	1.289397	0.0509544	1.097005	0.06905492	1.097005	0.0920173
1.302664	0.05944268	1.435308	0.01385382	1.296031	0.03923267	1.10364	0.02769675	1.10364	0.03311826
1.309297	0.02965103	1.441939	0.008788315	1.302664	0.1412418	1.110275	0.06583402	1.110275	0.02606242
1.315929	0.02542077	1.44857	0.02464155	1.309297	0.0765877	1.11691	0.02079558	1.11691	0.02489103
1.322562	0.07005482	1.455201	0.01750004	1.315929	0.05075655	1.123545	0.01870162	1.123545	0.01593425
1.329195	0.04723621	1.461833	0.01239661	1.322562	0.03804638	1.13018	0.02179908	1.13018	0.01748349
1.335828	0.05041615	1.468464	0.006240095	1.329195	0.04890077	1.136815	0.02287398	1.136815	0.03433143
1.34246	0.03113272	1.475094	0.01383478	1.335828	0.05986359	1.14345	0.004477344	1.14345	0.1408224
1.349093	0.04008435	1.481725	0.01189572	1.34246	0.07618405	1.150085	0.007398867	1.150085	0.1717327
1.355725	0.03278401	1.488356	0.01057201	1.349093	0.01826714	1.156719	0.03990031	1.156719	0.03708858
1.362357	0.06153022	1.494987	0.01066648	1.355725	0.06866958	1.163354	0.0197841	1.163354	0.02231545
1.36899	0.05510507	1.501617	0.01956134	1.362357	0.03527411	1.169988	0.008741974	1.169988	0.03192314
1.375622	0.07483847	1.508248	0.01066006	1.36899	0.03608608	1.176623	0.03252999	1.176623	0.02372534
1.382254	0.1168355	1.514878	0.01871104	1.375622	0.06415153	1.183257	0.02930556	1.183257	0.04176528
1.388886	0.03587728	1.521508	0.01660414	1.382254	0.03401739	1.189891	0.01509812	1.189891	0.03432985
1.395518	0.06266187	1.528138	0.01318217	1.388886	0.05948711	1.196526	0.05909346	1.196526	0.01188744
